Jul 16 18:36:59 gcp-cluster-control-plane kubelet[1491]: I0716 18:36:59.228299    1491 apiserver.go:41] "Waiting for node sync before watching apiserver pods"
Jul 16 18:36:59 gcp-cluster-control-plane kubelet[1491]: I0716 18:36:59.229324    1491 kuberuntime_manager.go:308] "Container runtime initialized" containerRuntime="containerd" version="v2.3.1" apiVersion="v1"
Jul 16 18:36:59 gcp-cluster-control-plane kubelet[1491]: I0716 18:36:59.232280    1491 kubelet.go:1002] "Not starting ClusterTrustBundle informer because we are in static kubelet mode or the ClusterTrustBundleProjection featuregate is disabled"
Jul 16 18:36:59 gcp-cluster-control-plane kubelet[1491]: I0716 18:36:59.232358    1491 kubelet.go:1029] "Not starting PodCertificateRequest manager because we are in static kubelet mode or the PodCertificateProjection feature gate is disabled"
Jul 16 18:36:59 gcp-cluster-control-plane kubelet[1491]: E0716 18:36:59.232485    1491 plugins.go:577] "Error initializing dynamic plugin prober" err="error initializing watcher: too many open files"
Jul 16 18:36:59 gcp-cluster-control-plane kubelet[1491]: I0716 18:36:59.237457    1491 server.go:1285] "Started kubelet"
Jul 16 18:36:59 gcp-cluster-control-plane kubelet[1491]: I0716 18:36:59.237561    1491 server.go:193] "Starting to listen" address="0.0.0.0" port=10250
Jul 16 18:36:59 gcp-cluster-control-plane kubelet[1491]: I0716 18:36:59.237961    1491 ratelimit.go:56] "Setting rate limiting for endpoint" service="podresources" qps=100 burstTokens=10
Jul 16 18:36:59 gcp-cluster-control-plane kubelet[1491]: I0716 18:36:59.238081    1491 server_v1.go:49] "podresources" method="list" useActivePods=true
Jul 16 18:36:59 gcp-cluster-control-plane kubelet[1491]: I0716 18:36:59.238403    1491 server.go:264] "Starting to serve the podresources API" endpoint="unix:/var/lib/kubelet/pod-resources/kubelet.sock"
Jul 16 18:36:59 gcp-cluster-control-plane kubelet[1491]: I0716 18:36:59.238927    1491 fs_resource_analyzer.go:69] "Starting FS ResourceAnalyzer"
